Sr.No,Exam,Subject,Unit,Chapter,Topic,Status,Topic ID
49,JEE,Chemistry,Organic Chemistry(OC-2),"Alcohols, Phenols and Ethers","Phenols-Introduction, Preparation and Properties",InActive,4666
50,JEE,Chemistry,Organic Chemistry(OC-2),"Alcohols, Phenols and Ethers","Alcohols-Introduction, Preparation and Properties and Tests",InActive,4665
51,JEE,Chemistry,Organic Chemistry(OC-2),Chemistry in Everyday Life,Chemicals in Food Products and Cleansing Agents,InActive,4664
52,JEE,Chemistry,Organic Chemistry(OC-2),Chemistry in Everyday Life,Drug-Types and Action,InActive,4663
53,JEE,Chemistry,Organic Chemistry(OC-2),Amines,"Diazonium Salt-Preparation, properties and applications",InActive,4662
54,JEE,Chemistry,Organic Chemistry(OC-2),Amines,Amines-Preparation and properties,InActive,4661
55,JEE,Chemistry,Physical Chemistry(PC-1),Structure of Atom,"Bohr's Model, De-broglie wavelength, Heisenberg Uncertainity Principle",InActive,4660
56,JEE,Chemistry,Physical Chemistry(PC-1),Structure of Atom,Particle Nature of light and Photoelectric effect,InActive,4659
57,JEE,Chemistry,Physical Chemistry(PC-1),Structure of Atom,Atomic Models and Electromagnetic Spectrum,InActive,4658
58,JEE,Chemistry,Physical Chemistry(PC-1),Redox Reactions,Applications of Redox reactions,InActive,4657
59,JEE,Chemistry,Physical Chemistry(PC-1),Redox Reactions,Redox Reactions and its balancing,InActive,4656
60,JEE,Chemistry,Physical Chemistry(PC-1),Chemical Equilibrium,Le chatelier's principle and Thermodynamics of Equilibrium,InActive,4655
61,JEE,Chemistry,Physical Chemistry(PC-1),Chemical Equilibrium,Equilibrium Constants and its applications,InActive,4654
62,JEE,Chemistry,Physical Chemistry(PC-1),Chemical Equilibrium,Law of Chemical Equilibrium,InActive,4653
63,JEE,Chemistry,Physical Chemistry(PC-1),Chemical Equilibrium,Introduction to Equilibrium,InActive,4652
64,JEE,Chemistry,Physical Chemistry(PC-1),Liquid and Gaseous States of Matter,Real Gas and its properties,InActive,4651
65,JEE,Chemistry,Physical Chemistry(PC-1),Liquid and Gaseous States of Matter,Gaseous Laws and Dalton's law,InActive,4650
66,JEE,Chemistry,Physical Chemistry(PC-1),Ionic Equilibrium,"Buffer Solutions, Indicators and its applications",InActive,4649
67,JEE,Chemistry,Physical Chemistry(PC-1),Ionic Equilibrium,"Ionic Equilibrium, Acids, Bases and Salts and Dissociation of water",InActive,4648
68,JEE,Chemistry,Physical Chemistry(PC-1),Thermodynamics,"Spontaneity, Entropy and Second and Third Law",InActive,4647
69,JEE,Chemistry,Physical Chemistry(PC-1),Thermodynamics,Enthalpies and Bond Energy,InActive,4646
70,JEE,Chemistry,Physical Chemistry(PC-1),Thermodynamics,Basics of Thermodynamics and First Law,InActive,4645
71,JEE,Chemistry,Physical Chemistry(PC-1),Some Basic Concepts of Chemistry,Mole Concept and Empirical and Molecular Formulae,InActive,4644
72,JEE,Chemistry,Physical Chemistry(PC-1),Some Basic Concepts of Chemistry,Miscellaneous Concepts of Atoms,InActive,4643
73,JEE,Physics,"Oscillations , Waves and Sound",Oscillations,SHM,InActive,4642
74,JEE,Physics,"Oscillations , Waves and Sound",Waves,Interference and the Principle of Superposition,InActive,4641
75,JEE,Physics,"Oscillations , Waves and Sound",Waves,Travelling waves,InActive,4640
76,JEE,Physics,"Oscillations , Waves and Sound",Sound,Loudness and factors affecting speed of sound,InActive,4639
77,JEE,Physics,"Oscillations , Waves and Sound",Sound,Sound waves,InActive,4638
78,JEE,Chemistry,Organic Chemistry(OC-1),Organic Chemistry- Some Basic Principles and Techniques,Purification Methods and Analysis of Organic Compounds,InActive,4637
79,JEE,Chemistry,Organic Chemistry(OC-1),Organic Chemistry- Some Basic Principles and Techniques,Isomerism in Organic Compounds,InActive,4636
80,JEE,Chemistry,Organic Chemistry(OC-1),Organic Chemistry- Some Basic Principles and Techniques,IUPAC nomenclature of Organic Compounds,InActive,4635
81,JEE,Chemistry,Organic Chemistry(OC-1),Organic Chemistry- Some Basic Principles and Techniques,Reaction Intermediates,InActive,4634
82,JEE,Chemistry,Organic Chemistry(OC-1),Organic Chemistry- Some Basic Principles and Techniques,Electronic Effects and its applications,InActive,4633
83,JEE,Chemistry,Organic Chemistry(OC-1),Organic Chemistry- Some Basic Principles and Techniques,Organic Reaction Mechanism-Introduction,InActive,4632
84,JEE,Chemistry,Organic Chemistry(OC-1),Hydrocarbons,Preparation and Properties of Aromatic Hydrocarbons,InActive,4631
85,JEE,Chemistry,Organic Chemistry(OC-1),Hydrocarbons,Preparation and Properties of Alkynes,InActive,4630
86,JEE,Chemistry,Organic Chemistry(OC-1),Hydrocarbons,Preparation and Properties of Alkenes,InActive,4629
87,JEE,Physics,Magnetism and Electromagnetic Induction,Alternating current,AC circuits,InActive,4628
88,JEE,Physics,Electrostatics and Current Electricity,Electric Charges and Fields,Coulomb's law and its applications,InActive,4627
89,JEE,Physics,Electrostatics and Current Electricity,Current Electricity,Electrical cell and circuits,InActive,4626
90,JEE,Physics,OPTICS,Wave Optics,"Scattering, Diffraction and Polarisation",InActive,4625
91,JEE,Physics,Thermodynamics,Transmission of Heat,Radiation and Convection,InActive,4624
92,JEE,Physics,Thermodynamics,Kinetic Theory of Gases,Gas Laws,InActive,4623
93,JEE,Physics,MECHANICS -2,Mechanical Properties of Fluids,Thrust and pressure,InActive,4622
94,JEE,Physics,MECHANICS -2,System of Particles and Rotational Motion,Mechanics of rotational motion,InActive,4621
95,JEE,Physics,MECHANICS -2,"Center of Mass , Conservation of Linear Momentum and Collision",Impulse and collision,InActive,4620
96,JEE,Physics,MECHANICS -1,Laws of Motion and friction,Applications of Newton's laws of Motion,InActive,4619
97,JEE,Chemistry,Organic Chemistry(OC-1),Hydrocarbons,"Preparation, Physical and Chemical Properties of Alkanes",InActive,4618
98,JEE,Physics,MECHANICS -1,Vectors,Algebra of Vectors,InActive,4617
99,JEE,Chemistry,Organic Chemistry(OC-1),Hydrocarbons,"Alkanes, Alkenes and Alkynes",InActive,4616
100,JEE,Physics,MECHANICS -1,Motion in a straight line,Equations of motion,InActive,4615
101,JEE,Physics,MECHANICS -1,Work Power Energy,Conservation of Mechanical Energy,InActive,4614
102,JEE,Mathematics,Algebra,Matrices and Determinants,Basics and Algebra of Matrices,Active,4613
103,JEE,Mathematics,Trigonometry,Trigonometric Ratios and Identities,Range and Graph of Trigonometric Expressions,Active,4612
104,JEE,Mathematics,Algebra,"Set, Relation, Interval and Logarithm",Basics and Algebra of Sets,Active,4611
105,JEE,Mathematics,Coordinate Geometry,Parabola,Basics of Parabola,Active,4610
106,JEE,Mathematics,Algebra,Mathematical Reasoning,Basics of Mathematical Reasoning,Active,4609
107,JEE,Mathematics,Coordinate Geometry,Hyperbola,Basics of Hyperbola,Active,4608
108,JEE,Mathematics,Coordinate Geometry,Ellipse,Basics of Ellipse,Active,4607
109,JEE,Mathematics,Algebra,Complex Numbers,Basics and Algebra of Complex Numbers,Active,4606
110,JEE,Mathematics,Trigonometry,Solution of Triangle or Properties of Triangle,Other SOT concepts,Active,4605
111,JEE,Chemistry,Physical Chemistry(PC-2),Surface Chemistry,Colloids and Emulsions,InActive,4604
112,NEET,Chemistry,Physical Chemistry(PC-1),Structure of Atom,Important Atomic Terms,Active,4603
113,NEET,Chemistry,Physical Chemistry(PC-1),Structure of Atom,Nuclear Chemistry,Active,4602
114,JEE,Chemistry,Physical Chemistry(PC-1),Structure of Atom,Nuclear Chemistry,Active,4601
115,NEET,Chemistry,Physical Chemistry(PC-2),Chemical Kinetics,Nuclear Chemistry,Active,4600
116,JEE,Chemistry,Physical Chemistry(PC-2),Chemical Kinetics,Nuclear Chemistry,Active,4599
117,JEE,Chemistry,Physical Chemistry(PC-1),Thermodynamics,Third Law of Thermodynamics,Active,4598
118,NEET,Chemistry,Physical Chemistry(PC-1),Thermodynamics,Third Law of Thermodynamics,Active,4597
119,JEE,Chemistry,Inorganic Chemistry(IOC-1),Periodic Table,Electron Gain Enthalpy and its Applications,Active,4595
120,JEE,Chemistry,Physical Chemistry(PC-1),Liquid and Gaseous States of Matter,Graham's law of diffusion,Active,4594
121,NEET,Chemistry,Physical Chemistry(PC-1),Liquid and Gaseous States of Matter,Graham's law of diffusion,Active,4593
122,NEET,Physics,Electrostatics and Current Electricity,Current Electricity,Electrolytic Cell,Active,4592
123,NEET,Physics,MECHANICS -1,Vectors,Scalars and Vectors,Active,4591
124,JEE,Physics,MECHANICS -1,Vectors,Scalars and Vectors,Active,4590
125,NEET,Physics,OPTICS,Wave Optics,Scaterring of Light,Active,4589
126,JEE,Physics,OPTICS,Wave Optics,Scaterring of Light,Active,4588
127,NEET,Physics,MODERN PHYSICS,Atoms,"Isotopes, IsoBars, IsoElectronic & Isotones",Active,4587
128,JEE,Physics,MODERN PHYSICS,Atoms,"Isotopes, IsoBars, IsoElectronic & Isotones",Active,4586
129,NEET,Physics,MECHANICS -1,Motion in a plane,General 2-D Motion,Active,4585
130,JEE,Physics,MECHANICS -1,Motion in a plane,General 2-D motion,Active,4583
131,JEE,Mathematics,Differential Calculus,Limits,Advance Methods of Evaluation of Limits,Active,4582
132,NEET,Chemistry,Organic Chemistry(OC-1),Stereochemistry and related concepts,"Specific rotation, racemisation and racemic mixture",Active,4579
133,JEE,Physics,Electrostatics and Current Electricity,Current Electricity,Electrolytic Cell,Active,4578
134,NEET,Zoology,Structural Organization in Plants and Animals (Z),Structural Organization in Animals,Animal Tissues,Active,4575
