,q_id,corr_opt,diff_lev,top_id,chap_id
278,2531,1,12,3159,265
279,2533,1,14,3529,305
280,2534,4,27,3503,299
281,2536,3,2,3503,299
282,2537,2,27,3503,299
283,2541,1,18,3638,224
284,2543,4,1,3704,238
286,2545,3,19,3729,249
287,2555,2,2,3745,253
288,2556,1,2,3749,255
289,2557,1,2,3723,247
292,2564,1,12,3672,231
293,2567,2,10,3164,265
295,2572,2,17,3607,314
299,2585,4,14,3811,308
300,2587,2,10,3178,267
301,2590,1,18,3774,311
302,2594,2,14,3503,299
303,2595,1,9,3712,240
304,2596,2,23,3963,324
305,2599,1,14,3587,317
306,2613,4,1,3704,238
307,2626,3,2,3727,248
308,2627,3,24,3729,249
309,2629,2,13,3755,256
311,2632,2,7,3738,251
312,2633,2,12,3412,259
313,2634,4,14,3745,253
314,2635,1,1,3746,254
316,2637,4,10,3713,240
318,2639,2,13,3205,288
319,2641,4,26,3628,244
320,2642,3,12,3266,273
323,2645,1,14,3811,308
324,2647,3,26,3633,245
325,2648,2,14,3473,294
326,2649,1,1,3635,246
328,2651,3,27,3638,224
329,2652,2,18,3774,311
331,2654,2,13,3229,289
332,2656,2,14,3556,309
333,2659,1,23,3712,240
335,2661,2,5,3563,310
336,2664,1,7,3632,245
338,3072,2,25,3927,351
339,3073,3,12,3926,351
340,3075,3,26,3821,328
341,3078,3,25,3911,347
343,3083,1,12,4214,381
345,3085,3,12,3866,336
346,3086,3,19,3846,332
347,3087,1,26,3930,352
348,3088,3,2,3849,333
349,3089,2,12,3890,343
350,3090,4,26,3934,354
352,3092,1,26,3886,342
353,3093,2,12,3857,334
354,3094,2,12,3886,342
355,3095,2,12,3878,340
356,3096,2,12,3897,344
357,3097,4,9,3873,338
358,3098,3,14,3886,342
359,3099,4,12,3869,337
360,3100,3,26,3908,347
361,3101,2,1,3939,357
362,3102,4,12,3875,339
363,3103,1,9,3857,334
364,3104,2,12,3842,332
365,3105,3,12,3960,355
366,3106,2,12,3917,349
367,3107,3,2,3932,353
368,3108,3,12,3845,332
369,3109,4,12,3824,329
370,3110,3,9,3844,332
371,3111,1,24,3906,346
372,3112,1,9,3831,330
373,3113,4,26,3832,330
374,3114,2,15,3916,349
375,3115,1,7,3862,335
376,3116,2,26,3881,341
377,3117,4,12,3933,354
378,3119,1,12,4080,371
379,3120,1,5,4227,382
380,3121,1,10,4174,386
381,3122,4,1,3965,365
382,3123,1,13,4267,389
383,3124,2,11,4008,363
384,3125,3,10,4044,368
385,3126,1,2,3997,364
386,3127,4,12,4172,386
387,3128,3,12,3989,361
388,3129,2,13,3978,360
389,3130,2,12,4161,378
390,3131,1,14,4184,385
391,3132,3,14,4229,388
392,3133,3,10,4150,377
393,3134,4,12,4242,387
394,3135,3,10,4167,380
395,3136,2,2,4193,383
